x y
287.9274234915068 189.69607706167147
1409.1471828935817 114.34732362008415
996.6809494847863 898.2633101059483
504.511176619379 1505.440028652856
1006.5669861573504 899.3223988810569
301.1534727684113 181.48793743546412
906.506567876998 1005.8807859372495
1395.094232221687 88.52199011871195
1506.0600104872592 602.481643561348
198.00826337337338 699.7409607722259
494.07280041489804 1512.5220224343036
190.51895132437718 695.573415019956
289.02477357782465 207.52389617558728
1203.0868942862808 1295.936635061084
500.5376126348355 1490.0827549361159
195.61608142941435 698.5287511438721
1502.677048847296 597.2986569537902
490.0019579350327 1502.0625178248226
998.0395582613534 891.9403772987599
1501.7287358162798 594.9574413179993
792.0655001901881 398.2723547054522
1002.6268309803429 911.4952258100037
810.4209158367189 399.99808639271316
990.582754651166 897.1292205145852
200.5713596758158 707.4516187306837
912.0275387184965 1005.576848448269
1397.32757747718 102.48347199361346
897.4113823991704 989.1536750734873
103.79080583127786 295.930546276115
310.28302898844925 198.00979446367708
1407.409086075778 111.75388540654963
1497.5288208096438 593.2109061575718
191.79232210395878 702.3338435620046
801.9248502167122 395.40932439981833
95.41275878879023 293.62298328165423
1495.5737432857413 580.6263450920649
906.0160719718068 1008.843596570633
798.4258561947828 396.7041319697761
191.9073395032231 692.7439782333388
1192.924573743254 1294.0602825725366
1492.2041205589762 600.5048215817558
1000.5431322190177 899.3118153094001
1003.8852160680967 889.2064341604827
813.1642628266794 407.36736163284337
890.3362902405253 1004.4958085644324
884.6210732947198 994.0103253740072
1009.9072200320029 897.1874030722145
1505.745992303594 606.9065215055698
118.45231155620272 308.9113414664673
1504.0382889835603 597.1663713364358
927.3618587004393 999.5813854094702
101.3076631733562 294.2727433803039
800.6645371016737 397.0044531238373
1402.3154057468887 112.55254734467637
186.13942572239324 694.2297449120609
1390.113317171162 94.71956420012037
496.8369113501151 1510.881607938711
83.56123214731849 298.99489323648436
314.97175995857384 195.78564628168283
492.5913988340123 1510.7378095128975
1383.4296519512282 91.79122169491272
1205.5392390874124 1303.2360690962373
88.74393563328614 312.0859672864243
803.3519742047588 399.369984488558
801.1479615867223 402.5439959747721
1498.9949826396958 600.1237196580813
309.2053150298593 213.8794094806793
1386.2153347144395 101.906646703488
191.51464469416538 688.1353759795707
1205.0864033234686 1293.4547274342551
98.51641462169542 310.0129141574364
299.7627828307603 192.40329012735393
1405.3355540002628 92.31356599244293
104.1128278370163 304.6256136155875
804.9282041474374 401.5566470456697
108.60885359054679 304.0185193425277
296.45628834943324 189.12514459324592
897.2941124481463 1001.2223336730251
1408.9231066255359 96.49627915432242
1198.841745133911 1303.6509668538336
1001.9186166887948 913.2374437586577
1189.4515628708843 1305.9453169530518
1200.3625252813044 1303.7227712799372
1192.131265025979 1299.5490861941028
895.4309083400234 988.7006213699194
495.4062816177789 1491.808807252045
1192.8497405748217 1299.245705120572
513.910695207662 1494.8137657847533
1011.5833455609303 894.0671359491232
100.55429325130913 304.9614865240663
298.65509247932323 198.90221882024025
1514.8831628612447 605.9146105508321
187.1350660442667 693.4966896201544
474.72160946451925 1492.028775952619
206.3747826227872 693.2423457655201
493.622677513843 1500.9319156805127
808.5095619853539 387.8381824709398
309.4039606427606 191.8364745362074
1203.9951984548466 1301.7053088680664
898.2821417118561 1015.0793370526223
